lastname,firstname,screenname,user_id
Friede,Lisa-Marie,lisamariefriede,2986342912
Möller,Sandra,dr_vonmoeller,1196714325286825985
Sollbach,Marion,marionsollbach,1382250035447001090
Krämer,Joachim Horst,johokra,90918304
Leitterstorf,Luca Mike,titusluca,305633775
Lehmann,Sven,svenlehmann,16706236
Birkwald,Matthias Walter,mwbirkwald,748851762
Manderla,Gisela Maria,manderlagisela,1095781218
Görzel,Volker,vgoerzelfdp,1350059078
Haug,Jochen,jochen_haug,717077328669646849
Dröge,Katharina,katdro,15722010
Jansen,Christoph,chrisjansenbonn,425062083
Rosenthal,Jessica,jessi_rosenthal,1250663306286817282
Graf Lambsdorff,Alexander,lambsdorff,149299258
Neuhoff,Hans Ludwig,dr_neuhoff,1047058166834434048
Uhlig,Katrin Babette,katrinuhligbn,1346462734662193152
Winkelmeier-Becker,Elisabeth,elisabethwinke4,1386075729780162569
Hartmann,Sebastian,sebast_hartmann,1076269195
Lorenz,Ralph Albert,ralphlorenzfdp,2455244503
Neu,Alexander Soranto,alexandersneu,1182878557
Röttgen,Norbert Alois,n_roettgen,1040160799208161280
Westig,Nicole,nicolewestig,989145249682526213
Beckamp,Roger Friedrich Nikolaus,rogerbeckamp,4755310637
Ralfs,Richard,richardralfs,311286385
Engelmeier,Michaela,michaelaengel,26713568
Polheim,Jörg,fdp_oberberg,73488204
Rummler,Bernd,rummler_bernd,1027231684029284352
Grützmacher,Sabine,s_gruetzmacher,1221559096463306752
Agu,Diyar,diyar_agu,1464802938
Lindner,Christian Wolfgang,c_lindner,122104353
Weyel,Harald,h_weyel,841412635270762496
Außendorf,Maik,maik_aussendorf,24253731
Casel,Isabelle,isabellecasel,849978732655890432
Güler,Serap,serapgueler,2645960542
Lauterbach,Karl Wilhelm,karl_lauterbach,3292982985
Besser,Cornelia,bessercornelia,995638394054201344
Cremer,Christer,chr_cremer1982,4113149309
Slawik,Nyke,nyke_slawik,3002271760
Lünenschloss,Caroline Anne Marie,carolueni,1320785670487658498
Lindh,Helge Frederik,helgelindh,454981027
Todtenhausen,Manfred,mtodtenhausen,563706584
Sörensen-Siebel,Till Niklas,siebeltill,1403212330520006657
Hardt,Jürgen,juergenhardt,38467606
Schäfer,Ingo,ingoschaeferspd,1380107899092017159
Weindl,Robert Josef,weindlrobert,896448697264992256
Kühne,Frederick,99thesen,178544586
Vaisi,Mohamad Shoan,vaisishoan,1289573573271728129
Wiener,Klaus,klauswiener,862247639584317441
Burda,Nicole Marie,burdanicole,1107289477259714560
Renner,Martin Erwin,renner_afd,2535401947
Schüren,Roland,rolandschueren,2820271505
Beyer,Peter,peter_beyer,445375409
Griese,Kerstin,kerstingriese,39709752
Denné-Weiß,Jessica,denneweiss_j,1358317156707033089
Malisch,Jessica,jessica_malisch,3383567741
Nick,Ophelia Johanna,ophelianick,2527051226
Jarzombek,Thomas,tj_tweets,37105136
Martens,Zanda,zandamartens,1383821163151851532
Strack-Zimmermann,Marie-Agnes,mastrackzi,3047392319
Hartmann,Frederik F.,frederikfhartm1,1364250743159586816
Born,Helmut,helmutborn3,750401006379433984
Pantel,Sylvia,sylviapantel,1082464339
Rimkus,Andreas,andreas_rimkus,30838821
Nanni,Sara,sarananni,81596596
Gröhe,Gottfried Hermann,groehe,94363834
Rinkert,Daniel,danielrinkert,1118689765
Djir-Sarai,Bijan,djirsarai,960463104537657344
Schenke,Petra Barbara,petraschenke,1298870870346289157
Dorff,Falk,falkvomdorff,1233654513892024325
Krings,Günter,guenterkrings,392312829
Henneberger,Kathrin,kathrinanna,17152502
Einfalt,Philipp,philippeinfalt,1243544966200209410
Fricke,Otto,otto_fricke,18044683
Rausch,Christof,rausch_christof,726832144081928192
Voller,Katharina Eva Elisabeth,katha_v,35810101
Suermondt,Julia Edith Loretta,julia_suermondt,1419726334453030917
Schiefner,Udo,udoschiefner,3823042877
Scheuerle,Eric Ralph Hugo,ericschrl,2180148226
Gottschalk,Kay,kaygottschalk1,1286011081
Heesen,Rene,reneheesen,1359443111961890819
Pietsch,Britta,pietschbritta,1290270213167030273
Rouenhoff,Stefan,stefanrouenhoff,963904327
Wißen,Bodo,bodowissen,196277773
Plorin,Gerd,gerd_plorin,814175764342075392
Hayduk,Norbert,pronomus,725370694125649920
Keller,Rainer Johannes,rainerkellerwes,912780367937048578
Reuther,Bernd,reuther_bernd,930422173478608903
Raumann,Holger,raumannholger,1042866624548818944
Weiß,Hans-Peter,hanspetergruene,1387441004870045702
Dieren,Jan Ulrich,janulrichdieren,1321043479229878272
Terwiesche,Michael,mterwiesche,917418178497646594
Schauws,Ursula,ulle_schauws,17363943
Schubert,Sebastian,linksschubert,1410608918221398024
Bas,Bärbel,baerbelbas,19438957
Kappes,Charline,charlinekappes,42054361
Lensing,Sascha,lensingsascha,1313795607216238593
Kaddor,Lamya,lamyakaddor,1200442200
Edis,Mirze,edismirze,1390946242969153537
Mosblech,Volker Peter,mosblechvolker,1369718948
Özdemir,Mahmut,oezdemir_spd,1399764944
Giesler,Markus,markusgiesler,1524426913
Banaszak,Felix,fbanaszak,395209158
Leye,Christian,christian_leye,826683982519611393
Vöpel,Dirk,voepeldirk,829029719941246978
Müller-Böhm,Roman Andreas Dirk,muellerboehm,2373251115
Wagner,Sascha Heribert,saschahwagner,633005935
Fiedler,Sebastian,fiedelseb,417280296
vom Berg,Joachim,johoffmann,20765149
Wrese,Alexander,alex_v_wrese,263345356
Fuchs,Florian,fuchs_cdu,1371446249715597312
Heidenblut,Dirk,dheidenblut,1083371289786634240
Müller-Hechfellner,Christine,salidana,53217638
El-Khatib,Jules,ju_khatib,707219371798740992
Hauer,Matthias,matthiashauer,1158585210
Keuter,Stefan,stefankeuterafd,794628172570619904
Gehring,Kai,kaigehring,110368456
Güyildar,Ezgi Bilge,ezgi_guyildar,1020396996
Breilmann,Michael,m_breilmann,893027627568697344
Schwabe,Frank,frankschwabe,30050484
Nickholz,Brian,briannickholz,1970779310
Conrad,Robin,rob_conr,883347916131270656
Eifler,Ulrike,eiflerulrike,1391353568691695616
Töns,Markus,toens_nrw04,3522875063
Buschmann,Marco,marcobuschmann,106136813
Schneider,Jörg,schneider_afd,719975730784956416
Mihalic,Irene,irenemihalic,143000381
Spahn,Jens Georg,jensspahn,299650387
Lahrkamp,Sarah,slahrkamp,1238059203526307842
Brockmeier,Alexander,alexbrockmeier,141585108
Etgeton,Torsten,tetgeton,1130911716693483522
Schoo,Alexandra,schooalexandra,1409898472078286859
Volmering,Sven,svenvolmering,332698790
Gerdes,Michael,gerdesmdb,2468956470
Steinzen,Sebastian,steinzenfdp,1104490868
Bauer,Detlef,detlefbauer_afd,3627640695
Wiesweg,Kim Alexandra,wieswegkim,1323973241510240258
Ellermann,Lisa,_lisaellermann_,1425837004466520077
König,Anne,annekoenig_,4493363728
Heselhaus,Nadine,nheselhaus,1335619744909627394
Busen,Karlheinz,busen_mdb,935554963639558145
Espendiller,Michael,drmespendiller,885167849685340161
Lammersmann,Bernhard Theodor,infolammersmann,725207956304875520
Frieg,Michael,friegmichael,1408771734405328900
Henrichmann,Marc,marchenrichmann,44608858
Waldmann,Johannes,joh_waldmann,2182007458
Spallek,Anne Monika,annespallek,1066418537969999873
Karliczek,Anja Maria-Antonia,anjakarliczek,2521976694
Coße,Jürgen,juergencosse,161395160
Elixmann,Florian Michael,elixmannm,1080224415151984641
Gesenhues,Jan-Niclas,jn_gesenhues,370585284
Vogler,Kathrin,voglerk,21287514
Schulze,Svenja,svenjaschulze68,757979230244368385
Kretzer,Klaus,klauskretzer,70347653
Birke,Helmut Gerhard,helmutbirke,2520914390
Klein-Schmeink,Maria Anna,mariaklschmeink,18103366
Sawilla,Kira,roteskiramisu,1365597851766636546
Rehbaum,Henning,henningrehbaum,1338567611781623810
Daldrup,Bernhard,bernharddaldrup,1329019163126476800
Dinter,Dennis,dennisdinter,752534242391953408
Jenkel,Reiner Erwin,rjenkel,133796046
Brinkhaus,Ralph,rbrinkhaus,38001527
Korkmaz-Emre,Elvan,korkmazgt,3930477322
Büker,Patrick,patrickbueker,1421882067814596609
Stölting,Sebastian,sebstoelting,2653856263
Cirlini,Camila,ccirlini,1157600466706075648
Westerwelle,Angelika,a_westerwelle,48040873
Esdar,Wiebke,wiebkeesdar1,1042109887604563968
Schlifter-de la Fontaine,Jan Maik,schlifterjm,857887263421845504
Kneller,Maximilian,maxkneller,83371585
Haßelmann,Britta Maria,brihasselmann,1131092102
Straetmanns,Friedrich Karl Otto,frstraetmanns,959059951523106816
Ebmeyer,Joachim Simon,jsebmeyer,23962520
